token_id,token_str,count,unigram_entropy,bigram_entropy,info_gain,pct_reduction
28723,.,22030,1.2981885047972377,0.5450465765912853,0.7531419282059524,58.014835705511395
28725,",",18928,1.7343512949448228,0.723806001558138,1.0105452933866848,58.26647094692743
272,the,17994,1.1494276689981078,0.7800800934629035,0.36934757553520425,32.13317249071827
304,and,11990,1.6001856024978554,0.6740921694789639,0.9260934330188915,57.8741260747053
298,to,11322,0.8934357335999976,0.35556281572843057,0.5378729178715671,60.20275411464341
302,of,10262,1.2572656936211133,0.4535699472283451,0.8036957463927682,63.924097386130384
13,"
",9116,2.1322625405610913,2.069394313227378,0.06286822733371311,2.948428072894332
264,a,8562,2.4201484781384766,1.560809857471814,0.8593386206666624,35.50768179841785
297,in,6700,1.128156957559555,0.2892849436368263,0.8388720139227286,74.35773970116608
28705,,6218,1.5818965895833577,0.7896786637299359,0.7922179258534218,50.08026005429832
349,is,5094,0.8881297310771351,0.25602886006104725,0.6321008710160878,71.17213272991862
28734,0,4510,2.264018039812814,1.9745787063099798,0.28943933350283424,12.784320990956621
354,for,4478,0.8294884382978085,0.1740957651984598,0.6553926730993487,79.01167066828305
28740,1,3988,2.335394983402444,2.040485121782295,0.2949098616201491,12.627836563667447
28713,s,3904,2.323028938993299,1.4838272087813285,0.8392017302119705,36.125323973606825
28733,-,3744,1.6006223537481197,0.6738047029174629,0.9268176508306568,57.903580358000205
368,you,3670,1.1641072647665553,0.45013117990310497,0.7139760848634504,61.33249971656417
369,that,3376,1.4386786771655553,0.41566937539112203,1.0230093017744333,71.10755987500544
395,with,3358,0.8271439434844761,0.21167632264320171,0.6154676208412744,74.40876835155422
356,on,3070,1.384298075354026,0.26572309740228384,1.118574977951742,80.80448841667811
28750,2,2916,2.255244222565472,1.8693620145585987,0.38588220800687334,17.1104399313308
28809,â€™,2730,1.2742329297864998,0.5853943467249596,0.6888385830615402,54.059078757049264
460,are,2614,0.7821126313874341,0.2949008664130326,0.48721176497440155,62.29432250826954
315,I,2592,0.9414863544836287,0.3596195744717228,0.581866780011906,61.80299663833565
347,be,2396,0.6185981474338325,0.3589794844705804,0.25961866296325203,41.968871720719434
378,it,2356,1.787309854837845,0.7801424956520177,1.0071673591858272,56.35102142248319
390,as,2230,1.93843496399466,0.649207366696836,1.289227597297824,66.50868464738318
574,your,2220,1.5180239318290334,0.7360973015660902,0.7819266302629432,51.509506132806294
442,or,2060,0.8909576830365461,0.20320021745399727,0.6877574655825488,77.19305626711092
28742,',1978,1.3290526418374342,0.5768094481597852,0.752243193677649,56.59995473449886
438,at,1876,1.37962873331733,0.24452722208616545,1.1351015112311647,82.2758676895488
456,this,1790,1.2834991674354672,0.5701970714640402,0.713302095971427,55.574800052006346
506,have,1770,1.433939460834277,0.785043009815286,0.6488964510189911,45.25270897011636
325,(,1740,1.653660354365345,0.25236214731627604,1.401298207049069,84.73917895835812
477,from,1694,1.0773071777272047,0.24376796746349563,0.8335392102637091,77.37247346873033
415,The,1662,0.8594060752082077,0.2347609683602893,0.6246451068479184,72.68334782210914
28770,3,1632,2.2153359319497894,1.6927624994994481,0.5225734324503413,23.588902473603962
28782,5,1588,2.135822134472463,1.8059246785389924,0.32989745593347064,15.445923637969674
622,will,1576,1.7532997780271573,0.6304827186606393,1.1228170593665179,64.04022138358624
541,can,1568,1.9396589078988837,0.954230473777428,0.9854284341214558,50.804212540075476
486,by,1556,0.8944585681684004,0.15609322956391342,0.738365338604487,82.54885859234952
288,ing,1520,2.0784019327944634,0.3685414057167028,1.7098605270777605,82.26803969426695
396,an,1424,2.379162121361759,1.1422644046305164,1.2368977167312425,51.98879494699086
403,was,1404,0.7892264155688711,0.17715244668511193,0.6120739688837591,77.55365973686762
659,has,1394,1.2963871802053395,0.40929151057278956,0.8870956696325499,68.42829697621968
28781,4,1390,2.0747385195190042,1.645122451477845,0.42961606804115915,20.70699820721307
459,not,1242,1.8829190670244058,1.1132035368960087,0.7697155301283971,40.878843047926935
478,we,1186,0.9222464683201408,0.38294380329952676,0.5393026650206141,58.47706481359006
28808,!,1158,1.0949641301465172,0.15998133054078076,0.9349827996057364,85.38935421387971
